조사년도,해역,연안명칭,수온 표층,수온 저층,염분 표층,염분 저층,수소이온농도 표층,수소이온농도 저층,용존산소량 표층,용존산소량 저층,화학적산소요구량 표층,화학적산소요구량 저층,암모니아질소 표층,암모니아질소 저층,아질산성 질소 표층,아질산성 질소 저층,질산성질소 표층,질산성질소 저층,용존무기질소 표층,용존무기질소 저층,총질소 표층,총질소 저층,용존무기인 표층,용존무기인 저층,총인 표층,총인 저층,규산규소 표층,규산규소 저층,부유물질 표층,부유물질 저층,클로필드 표층,클로필드 저층,투명도 표층
2017,남해,여수연안,17.43,16.71,32.82,33.04,8.21,8.18,8.2,7.52,1.39,1.42,10.44,12.64,3.42,5.02,13.19,16.77,27.05,34.43,163.23,177.64,14.18,13.71,23.85,25,239.15,288.76,6.93,7.77,1.85,1.86,4.42
2017,남해,가막만,17,16.57,33,33.03,8.18,8.18,8.6,8.39,1.42,1.99,20.36,19.53,2.47,3.05,12.09,21.04,34.93,43.62,159.82,140.46,10.11,8.79,22.78,21.14,176.32,190.5,8.51,7.53,1.61,1.96,3.09
2017,남해,여자만,16.89,16.61,32.56,32.67,8.18,8.18,8.75,8.6,1.51,2.11,9.9,11.02,1.8,3.6,9.96,12.61,21.65,27.24,189.69,152.18,12.94,11.18,28.95,25.33,488.72,443.81,27.2,27.81,4.22,4.27,1.27
2017,남해,고흥연안,16.77,16.3,33.02,33.03,8.18,8.18,8.18,7.8,1.4,1.46,5.64,5.12,2.63,4.33,17.87,22.9,26.13,32.35,144.77,148.94,15.53,15.03,22.91,20.18,215.79,230.3,11.85,17.61,1.66,1.88,2.4
2017,남해,득량만,17.18,16.67,32.87,32.88,8.15,8.15,8.39,8.09,1.36,1.63,9.09,14.77,2.17,2.8,22.85,25.72,34.11,43.3,171.38,162.05,10.36,8.22,24.22,23.72,360.45,367.44,18.69,21.68,3.89,3.75,1.44
2017,제주,제주연안,19.73,18.55,32.66,33.26,8.21,8.18,8.42,8.39,1.07,1.2,5.69,4.05,2.22,2.77,27.4,37.76,35.31,44.58,138.65,139,9.53,11.13,14.74,14.39,158.87,191.46,1.75,2.42,0.21,0.2,12.5
2017,제주,조천연안,19.77,17.66,32.86,33.58,8.22,8.15,8.35,8.09,0.76,0.99,2.5,7.57,3.07,3.72,28.55,48.58,34.12,59.88,129.48,141.06,10.82,10.45,13.67,14.04,182.33,222.37,1.78,2.18,0.23,0.17,12.28
2017,제주,성산연안,19.84,17.03,33.26,34.09,8.2,8.13,8.22,7.96,0.95,1.05,1.79,1.95,2.25,3.23,29.47,56.28,33.5,61.46,128.3,160.47,10.24,11.18,13.1,15.96,175.78,236.9,2.47,1.62,0.21,0.13,12.31
2017,제주,표선연안,20.86,17.88,33.21,34.05,8.22,8.14,8.05,8.02,0.98,1.2,2.22,1.54,1.85,4.63,27.42,49.6,31.48,55.77,119.01,143.11,9.49,11.05,14.62,14.77,190.24,229.46,2.06,1.56,0.21,0.17,11.95
2017,제주,서귀포연안,20.68,18.81,33.36,34.04,8.2,8.15,8.25,7.96,0.98,1.15,2.93,2.43,1.96,2.88,24.93,40.39,29.82,45.69,168.65,150.89,10.12,10.28,17.67,14.76,162.89,228.71,1.9,2.46,0.33,0.27,12.07
2017,제주,대정연안,20.28,18.74,33.39,33.97,8.19,8.16,8.04,8,1.07,1.58,5.63,6.04,2.41,2.27,21.83,36.98,29.87,45.29,123.65,135.35,9.19,10.78,13.9,13.97,139.46,173.95,2.22,2.66,0.41,0.18,12.66
2017,제주,한림연안,19.61,17.68,33.2,33.93,8.19,8.13,8.25,8.11,1.22,1.52,2.7,1.63,2.18,3.02,38.67,54.44,43.55,59.08,124.97,150.16,9.94,11.36,13.7,15.07,184.73,218.26,2.7,4.53,0.18,0.28,11.79
